name,rating,votes,location,cuisines,cost(2),cost category
Hungry Hippie,4,1469,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",800,Medium
Market Table,5,548,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",900,Medium
Mimansa @ Foxtrot,4,191,Koramangala 3rd Block,Cafe,1000,Medium
Bundar,4,2448,Koramangala 6th Block,"Cafe, Burger, Fast Food, Desserts",700,Medium
Lot Like Crepes,5,1026,Koramangala 7th Block,"Cafe, Desserts, Continental",550,Medium
Starbucks,4,1358,Koramangala 7th Block,"Cafe, Desserts",700,Medium
Cafe D'hide,4,872,Koramangala 5th Block,"Cafe, American, Continental, Italian",600,Medium
Gudguda Prime Cafe,4,815,Koramangala 6th Block,"Cafe, Continental, Chinese, Italian",800,Medium
Cafe Terra,4,778,Koramangala 1st Block,"Cafe, Continental",700,Medium
Cafe Medley,4,1063,Koramangala 5th Block,"Cafe, Continental, Burger",800,Medium
99 Pancakes,5,341,Koramangala 5th Block,"Desserts, Cafe",300,Low
154 Breakfast Club,4,1513,Koramangala 3rd Block,"Cafe, Continental",900,Medium
The Vacationer's Cafe,4,306,Koramangala 7th Block,"Cafe, Continental, Mexican",600,Medium
Bistro Oui,4,402,Koramangala 5th Block,"Cafe, Continental, Salad, Steak",1200,High
Cafe Graffiters,4,22,Koramangala 5th Block,"Cafe, Continental, Beverages",600,Medium
The Yellow Tuk-Tuk Cafe,4,16,Koramangala 5th Block,"Cafe, Continental, Beverages",500,Medium
Kargeens,4,991,Koramangala 6th Block,"Cafe, Continental, Italian",600,Medium
Smally's Resto Cafe,4,1701,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",650,Medium
Mustard Cafe,4,889,Koramangala 3rd Block,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",800,Medium
Fabindia Cafe,4,224,Koramangala 2nd Block,"Cafe, Street Food",200,Low
Smoor,4,100,Koramangala 7th Block,"Desserts, Cafe, Beverages",900,Medium
Vitamin Palace,4,172,Koramangala 7th Block,"Cafe, Beverages, Healthy Food, Juices",650,Medium
TRIGEREATO,4,102,Koramangala 8th Block,"Cafe, Continental, Beverages",700,Medium
The Yogisthaan Cafe,4,62,Koramangala 2nd Block,"Cafe, Healthy Food, Salad, Beverages",600,Medium
Maxpresso,4,324,Koramangala 7th Block,"Cafe, American, Italian, Beverages",700,Medium
Chai Galli,4,480,Koramangala 5th Block,"Cafe, Tea, Street Food",450,Low
Kalmane Koffees,4,367,Koramangala 7th Block,Cafe,350,Low
Lakeview Milkbar,4,289,Koramangala 8th Block,"Desserts, Cafe, Fast Food",500,Medium
Biggies Burger 'n' More,4,107,Koramangala 6th Block,"Cafe, Burger, Fast Food",400,Low
Breaktime Brew,4,24,Koramangala 7th Block,Cafe,550,Medium
WTF,4,93,Koramangala 5th Block,"Cafe, Continental",600,Medium
The Chocolate Room,4,63,Koramangala 7th Block,"Cafe, Desserts, Bakery",600,Medium
Chill-Um Cafe,4,152,Koramangala 6th Block,"Cafe, Chinese, Continental",600,Medium
Entropy Cafe,4,506,Koramangala 6th Block,"Cafe, Chinese, Pizza, North Indian, Burger",600,Medium
Bun Town,4,22,Koramangala 5th Block,"Cafe, Bakery",500,Medium
Billionaires Cafe,4,47,Koramangala 5th Block,"Cafe, Italian",600,Medium
Dhuaan,4,130,Koramangala 5th Block,"Cafe, Continental",800,Medium
Cafe On The Way,4,275,Koramangala 3rd Block,Cafe,500,Medium
Tattva Cafe,3,227,Koramangala 6th Block,Cafe,450,Low
Loca Moca,4,46,Koramangala 1st Block,"Cafe, Continental",600,Medium
Fetchpod Cafe,3,12,Koramangala 6th Block,"Cafe, North Indian, Chinese, Continental",500,Medium
Om's Cafe Prana,4,16,Koramangala 7th Block,"Cafe, Fast Food",300,Low
M World Cafe,4,14,Koramangala 1st Block,Cafe,500,Medium
Chaai Resto,4,54,Koramangala 6th Block,"Tea, Beverages, Fast Food",250,Low
Tella Tales,4,414,Koramangala 5th Block,"Cafe, Desserts, Beverages",700,Medium
On The Nose,3,26,Koramangala 5th Block,"Cafe, Italian, Mexican, Chinese",600,Medium
Dreams Cafe - All Day English Food St.,4,231,Koramangala 1st Block,"Cafe, Continental, Burger",600,Medium
Loveshack,4,1755,Domlur,"Continental, Pizza, North Indian, Goan, Burger, Cafe",1600,High
Here & Now,5,1587,HSR,"Cafe, American, Burger, Beverages",750,Medium
Sector 7 CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,4,1101,HSR,"Cafe, Continental, Pizza, Salad",700,Medium
Blk Plus Wht,4,128,HSR,"Asian, Thai, North Indian",800,Medium
Canopy Flavours,3,49,HSR,"Cafe, Fast Food",450,Low
Burger Garden,3,7,South Bangalore,"Fast Food, Burger, Desserts, Cafe",300,Low
5th Main Cafe,4,15,HSR,"Cafe, Fast Food",250,Low
Foodiesthan,4,59,HSR,"Cafe, Fast Food, North Indian",600,Medium
